Supplementary Data 8. Differential gene expression between clone #5 and clone #4 in Table 1,,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Diff
CCDC18-AS1,0.330783432,-0.11844004,0.128,0.153,1,0.025
TPGS1,0.58038333,-0.118426434,0.128,0.142,1,0.014
GMPR2,0.442210404,-0.118414451,0.091,0.108,1,0.017
ANGEL2,0.607742795,-0.118374781,0.1,0.111,1,0.011
TTC14,0.394596687,-0.118343564,0.159,0.183,1,0.024
PCNT,0.831484599,-0.118109732,0.109,0.115,1,0.006
SP140,0.618659119,-0.11798992,0.181,0.195,1,0.014
YIF1B,0.854656166,-0.117948891,0.106,0.111,1,0.005
ARFRP1,0.689658077,-0.117919209,0.097,0.105,1,0.008
JAK1,0.26945317,-0.117886005,0.575,0.618,1,0.043
TRIM38,0.480773419,-0.117866837,0.109,0.126,1,0.017
DDT,0.516215395,-0.117720074,0.181,0.2,1,0.019
PARP1,0.70896314,-0.117519241,0.2,0.211,1,0.011
SERF2,0.044942773,-0.117307433,0.938,0.944,1,0.006
RPL14,0.000868473,-0.11710106,1,0.999,1,-0.001
ARL6IP5,0.144751843,-0.116965475,0.613,0.649,1,0.036
ARID1A,0.407646767,-0.116926408,0.134,0.158,1,0.024
NCOA4,0.517403418,-0.116820083,0.138,0.154,1,0.016
RPA3,0.526992403,-0.116668592,0.091,0.104,1,0.013
MICOS13,0.623242417,-0.116574086,0.269,0.288,1,0.019
RPS10,0.377127706,-0.116478874,0.097,0.115,1,0.018
KAT7,0.594691995,-0.116394357,0.112,0.125,1,0.013
TLN1,0.271962145,-0.116174168,0.512,0.556,1,0.044
GRAP2,0.357481118,-0.115326819,0.188,0.217,1,0.029
RAB11B,0.677437661,-0.115164081,0.281,0.291,1,0.01
TAP1,0.510426241,-0.114886103,0.388,0.414,1,0.026
PHF20,0.253164807,-0.114613815,0.159,0.193,1,0.034
ARHGAP45,0.217122244,-0.114594893,0.334,0.388,1,0.054
SENP6,0.471018306,-0.114336046,0.206,0.225,1,0.019
NUCB2,0.358745371,-0.114042797,0.234,0.265,1,0.031
SRRM1,0.277709975,-0.113578958,0.441,0.489,1,0.048
STX5,0.721806426,-0.113574277,0.097,0.104,1,0.007
YARS,0.344786649,-0.113377596,0.15,0.178,1,0.028
RPL36,0.005499363,-0.113275429,0.997,0.999,1,0.002
ZC3H13,0.688590519,-0.112629372,0.169,0.178,1,0.009
GLRX5,0.147759634,-0.11242436,0.156,0.201,1,0.045
GPATCH8,0.509187463,-0.112355277,0.156,0.174,1,0.018
PSMD13,0.503354782,-0.111810664,0.178,0.197,1,0.019
PRDX6,0.166301176,-0.111576504,0.234,0.294,1,0.06
NDUFA11,0.490690564,-0.110798947,0.469,0.497,1,0.028
NEAT1,0.479385866,-0.110538105,0.388,0.41,1,0.022
ZC3HAV1,0.195027101,-0.110372155,0.278,0.328,1,0.05
ANTKMT,0.765494897,-0.110080394,0.147,0.154,1,0.007
TOR1AIP1,0.407983737,-0.109927942,0.112,0.132,1,0.02
LAPTM5,0.114857252,-0.109858924,0.869,0.901,1,0.032
RPL17,0.028701176,-0.109785112,0.991,0.99,1,-0.001
RPL3,0.000744046,-0.109756949,0.997,1,1,0.003
EBP,0.477548551,-0.1097314,0.138,0.153,1,0.015
XPC,0.352292166,-0.109486955,0.097,0.117,1,0.02
PRR14,0.832273111,-0.109469367,0.097,0.101,1,0.004
MZT2A,0.741814314,-0.10943245,0.225,0.234,1,0.009
RPS15A,4.56E-05,-0.109352316,1,1,0.765826628,0
PTK2B,0.497140368,-0.108815181,0.122,0.137,1,0.015
TSN,0.152138077,-0.108695256,0.091,0.122,1,0.031
GSTO1,0.298573565,-0.10860909,0.159,0.187,1,0.028
PDLIM2,0.660847652,-0.107773065,0.209,0.222,1,0.013
PHF5A,0.474882526,-0.107565845,0.103,0.12,1,0.017
WDR1,0.158134764,-0.107300426,0.391,0.44,1,0.049
FOXJ3,0.527225268,-0.107119272,0.103,0.118,1,0.015
DAXX,0.284639254,-0.106922829,0.175,0.207,1,0.032
TIMM10,0.618109403,-0.106883879,0.138,0.148,1,0.01
WASHC2C,0.247381058,-0.106769268,0.081,0.105,1,0.024
PSMD9,0.9226257,-0.106765056,0.234,0.234,1,0
STAT3,0.517854375,-0.106586774,0.338,0.353,1,0.015
RAN,0.324178809,-0.106190149,0.456,0.479,1,0.023
WDR46,0.55031466,-0.106078694,0.088,0.1,1,0.012
GADD45GIP1,0.406042945,-0.105468593,0.25,0.273,1,0.023
ZC3H18,0.703637966,-0.105376369,0.109,0.118,1,0.009
GLYR1,0.509642658,-0.105068907,0.088,0.102,1,0.014
DECR1,0.417563968,-0.104831125,0.153,0.176,1,0.023
FYB1,0.510345803,-0.104719679,0.525,0.553,1,0.028
STRAP,0.312599319,-0.104696526,0.219,0.253,1,0.034
CASP4,0.354037752,-0.104583363,0.253,0.282,1,0.029
LTBP4,0.668518085,-0.104514601,0.131,0.142,1,0.011
CARD16,0.323683402,-0.104359434,0.222,0.248,1,0.026
MVP,0.407616435,-0.103911129,0.172,0.195,1,0.023
RPS13,0.004802007,-0.103831535,1,0.999,1,-0.001
RPL10,0.000370083,-0.103796401,1,1,1,0
ATP5PD,0.30964598,-0.103298518,0.328,0.364,1,0.036
NUFIP2,0.542349741,-0.103126643,0.172,0.191,1,0.019
YRDC,0.455457936,-0.102965344,0.097,0.114,1,0.017
ASB8,0.999366945,-0.102873473,0.119,0.118,1,-0.001
RNF149,0.338836953,-0.102510549,0.3,0.333,1,0.033
RPL8,0.003012542,-0.102497534,0.997,0.994,1,-0.003
ZFYVE28,0.508706964,-0.101911373,0.112,0.128,1,0.016
TAF3,0.417177187,-0.101801218,0.128,0.149,1,0.021
MED16,0.3270583,-0.101603702,0.094,0.117,1,0.023
NDUFA7,0.493544049,-0.101326109,0.156,0.175,1,0.019
JOSD2,0.439395208,-0.101302968,0.106,0.124,1,0.018
USP7,0.605329682,-0.10112123,0.106,0.117,1,0.011
FUS,0.281459935,-0.101040506,0.531,0.575,1,0.044
C19orf53,0.206248901,-0.101019601,0.419,0.468,1,0.049
FRG1,0.812570186,-0.100742513,0.122,0.127,1,0.005
GBP1,0.881991481,-0.1002076,0.131,0.126,1,-0.005
CALM2,0.445185271,-0.100196572,0.484,0.522,1,0.038
SF3A2,0.54650112,-0.099983843,0.3,0.326,1,0.026
NHP2,0.367205385,-0.099981261,0.216,0.243,1,0.027
SURF4,0.24491639,-0.099814418,0.194,0.233,1,0.039
BCL7B,0.620271617,-0.099644624,0.15,0.163,1,0.013
LDB1,0.436876446,-0.099395845,0.116,0.134,1,0.018
PNKD,0.419843696,-0.099381475,0.156,0.179,1,0.023
FAM174C,0.564281544,-0.099368702,0.2,0.222,1,0.022
SPSB3,0.474165581,-0.099271037,0.409,0.453,1,0.044
CCNL2,0.188973396,-0.099102576,0.109,0.145,1,0.036
NUB1,0.617920985,-0.099067088,0.178,0.191,1,0.013
ST13,0.559254148,-0.099015765,0.366,0.393,1,0.027
GNAS,0.323267008,-0.098932446,0.65,0.667,1,0.017
WIPI2,0.904072335,-0.09874672,0.116,0.117,1,0.001
RPL22,0.228070578,-0.098235645,0.938,0.956,1,0.018
EPRS,0.508082052,-0.098212335,0.141,0.159,1,0.018
PDIA6,0.322749528,-0.097984838,0.312,0.35,1,0.038
PTPN22,0.27689115,-0.097878684,0.219,0.257,1,0.038
C15orf61,0.5534148,-0.097856298,0.131,0.146,1,0.015
GNPAT,0.487925868,-0.097825079,0.094,0.11,1,0.016
PDCD4,0.753102245,-0.097497407,0.212,0.222,1,0.01
GPX4,0.686853492,-0.097291371,0.444,0.456,1,0.012
SRSF3,0.621440149,-0.096499199,0.391,0.407,1,0.016
AC245407.2,0.685001632,-0.096060894,0.119,0.13,1,0.011
RBM15B,0.375101346,-0.096036393,0.103,0.122,1,0.019
PIK3CD,0.439988088,-0.096001051,0.181,0.204,1,0.023
DDX39A,0.413267254,-0.095831039,0.219,0.245,1,0.026
USP22,0.882112877,-0.095161196,0.125,0.128,1,0.003
BIN1,0.445940762,-0.09484818,0.388,0.415,1,0.027
NDUFA1,0.38366279,-0.09482363,0.531,0.554,1,0.023
LGALS1,0.264864153,-0.094616365,0.506,0.546,1,0.04
NDUFA2,0.191358431,-0.094614482,0.266,0.315,1,0.049
TAZ,0.395855524,-0.094549897,0.119,0.138,1,0.019
UBE2Q2,0.560682007,-0.094075487,0.106,0.119,1,0.013
BLOC1S2,0.378828239,-0.093984973,0.103,0.124,1,0.021
CPNE3,0.588829351,-0.093953577,0.169,0.184,1,0.015
GPS2,0.396472846,-0.093935443,0.372,0.408,1,0.036
TSNAX,0.344177785,-0.093819748,0.116,0.137,1,0.021
RAB2A,0.545712833,-0.093499748,0.284,0.307,1,0.023
RAPGEF1,0.288945308,-0.093370832,0.181,0.212,1,0.031
TMEM256,0.556597699,-0.093052575,0.225,0.248,1,0.023
UQCRB,0.319450224,-0.092739775,0.647,0.718,1,0.071
RPL19,0.001279644,-0.09262212,1,1,1,0
SEPHS2,0.828193152,-0.092240892,0.103,0.108,1,0.005
PCF11,0.36238353,-0.092071542,0.122,0.146,1,0.024
MAP4,0.349574019,-0.091820182,0.181,0.209,1,0.028
STAT1,0.287974322,-0.091739736,0.212,0.245,1,0.033
ATRAID,0.393193793,-0.091680564,0.272,0.309,1,0.037
SCAMP2,0.252156914,-0.091526408,0.266,0.304,1,0.038
S1PR5,0.777262504,-0.091378349,0.372,0.375,1,0.003
EIF3H,0.336756985,-0.091370553,0.519,0.554,1,0.035
MAPK1IP1L,0.447263654,-0.091208102,0.216,0.242,1,0.026
EIF4B,0.272930138,-0.091157167,0.544,0.603,1,0.059
OSBP,0.139638792,-0.090601675,0.072,0.1,1,0.028
PTGER4,0.47371391,-0.090562606,0.184,0.207,1,0.023
BIRC6,0.757693148,-0.090368299,0.197,0.209,1,0.012
RCSD1,0.21782425,-0.090355794,0.309,0.361,1,0.052
DENND2D,0.574154,-0.089974927,0.225,0.242,1,0.017
TRIM4,0.45814683,-0.089905113,0.119,0.137,1,0.018
TOMM6,0.681795056,-0.089480717,0.412,0.427,1,0.015
SLFN5,0.399853152,-0.089253299,0.294,0.327,1,0.033
RPS9,0.030200692,-0.089159705,1,0.998,1,-0.002
CNBP,0.259014585,-0.088810616,0.681,0.708,1,0.027
MED30,0.472629126,-0.08879518,0.169,0.191,1,0.022
RBM8A,0.641674858,-0.0887846,0.338,0.349,1,0.011
CELF2,0.371762433,-0.088749394,0.3,0.337,1,0.037
RDH11,0.680936055,-0.088613914,0.097,0.104,1,0.007
RPL15,0.009757394,-0.088155637,0.988,0.994,1,0.006
SEC61B,0.119093711,-0.088052002,0.409,0.476,1,0.067
GAPDH,0.132539896,-0.08779831,0.941,0.963,1,0.022
2-Mar,0.64640015,-0.087787659,0.109,0.119,1,0.01
RPSA,0.126277926,-0.087490442,0.975,0.979,1,0.004
TCEA1,0.475271609,-0.087281258,0.397,0.426,1,0.029
RPL35A,0.022752751,-0.087215506,1,0.998,1,-0.002
SLC25A36,0.208040701,-0.087213149,0.1,0.131,1,0.031
MT-ND5,0.037353578,-0.086980667,0.891,0.938,1,0.047
ARL4C,0.243641734,-0.086879538,0.691,0.763,1,0.072
RPL9,0.041422432,-0.086856608,0.959,0.984,1,0.025
ZNF335,0.648900061,-0.086654357,0.094,0.103,1,0.009
MPHOSPH10,0.421127742,-0.086620552,0.088,0.105,1,0.017
RPS23,0.004572673,-0.086465722,1,0.999,1,-0.001
ZRANB2,0.566253767,-0.086136554,0.216,0.236,1,0.02
RBM22,0.3949248,-0.085960442,0.128,0.149,1,0.021
ATP6V0E1,0.163372048,-0.085903799,0.456,0.527,1,0.071
AL139246.5,0.39309264,-0.085887705,0.109,0.129,1,0.02
TMEM203,0.315084629,-0.085833885,0.119,0.145,1,0.026
DNAJC15,0.446137911,-0.085544736,0.128,0.149,1,0.021
KPNA4,0.699381682,-0.085391173,0.162,0.174,1,0.012
RAB29,0.42874045,-0.084801368,0.244,0.274,1,0.03
KIF21B,0.697748445,-0.084783759,0.131,0.121,1,-0.01
ATP5MG,0.129053607,-0.084612936,0.787,0.832,1,0.045
ARID1B,0.678475402,-0.084563608,0.131,0.141,1,0.01
PRMT1,0.502453373,-0.083935259,0.216,0.245,1,0.029
GIMAP1,0.625145574,-0.083875323,0.272,0.286,1,0.014
ZNF217,0.812379287,-0.083140239,0.109,0.115,1,0.006
PPP2R2D,0.82157915,-0.082835236,0.122,0.126,1,0.004
ERBIN,0.35156017,-0.0827957,0.103,0.126,1,0.023
RPL29,0.017012966,-0.082764758,1,1,1,0
BCL11B,0.382150297,-0.082729245,0.275,0.309,1,0.034
MACF1,0.385449029,-0.082135456,0.431,0.461,1,0.03
RPL18A,0.012689867,-0.081711493,1,0.999,1,-0.001
EEF1D,0.091305977,-0.081411678,0.984,0.98,1,-0.004
RPS2,0.010675221,-0.081295149,1,0.996,1,-0.004
SF1,0.158384449,-0.080759205,0.537,0.606,1,0.069
POLR2B,0.341124348,-0.080651888,0.15,0.178,1,0.028
CDC26,0.496552039,-0.080586984,0.116,0.131,1,0.015
RPL7A,0.033528262,-0.08052833,1,0.999,1,-0.001
SMIM12,0.663916419,-0.080487527,0.122,0.133,1,0.011
AKT1,0.704661907,-0.080430538,0.178,0.191,1,0.013
PYCR2,0.322051892,-0.080075509,0.162,0.194,1,0.032
CAMK2N1,0.528764041,-0.080014929,0.122,0.137,1,0.015
SOD1,0.342755851,-0.079946099,0.431,0.481,1,0.05
SNRPE,0.39014067,-0.079879944,0.141,0.164,1,0.023
SARAF,0.289192831,-0.079833859,0.697,0.742,1,0.045
SYAP1,0.232844734,-0.079482224,0.109,0.142,1,0.033
SP3,0.830134103,-0.079430864,0.122,0.127,1,0.005
ORAI1,0.535393834,-0.079253066,0.341,0.363,1,0.022
VTI1B,0.526189692,-0.079208113,0.166,0.186,1,0.02
NOB1,0.685995099,-0.078951564,0.103,0.113,1,0.01
NLRP1,0.989465683,-0.078884691,0.194,0.192,1,-0.002
ERP29,0.1542841,-0.078819726,0.509,0.595,1,0.086
TOX4,0.464972954,-0.078697133,0.181,0.204,1,0.023
PABPC1,0.212620778,-0.078470817,0.756,0.783,1,0.027
CCNY,0.719212139,-0.078081147,0.191,0.198,1,0.007
DHX9,0.681271246,-0.077974418,0.116,0.125,1,0.009
VDAC2,0.703092906,-0.077744035,0.278,0.291,1,0.013
SVIP,0.610205082,-0.077683455,0.109,0.122,1,0.013
RNF44,0.831997639,-0.077676075,0.181,0.187,1,0.006
RPS21,0.028539381,-0.077626905,1,0.996,1,-0.004
CEP350,0.260459905,-0.077409451,0.175,0.208,1,0.033
TRAF3IP3,0.116246716,-0.077388922,0.472,0.539,1,0.067
MRFAP1,0.232955476,-0.077210036,0.128,0.159,1,0.031
ZNF638,0.142152,-0.077051669,0.169,0.218,1,0.049
EMC6,0.711877693,-0.077019971,0.153,0.163,1,0.01
UCHL5,0.720259619,-0.076898932,0.134,0.145,1,0.011
GTF3A,0.709846125,-0.076803607,0.459,0.477,1,0.018
NME1,0.652947762,-0.076780041,0.106,0.116,1,0.01
SNRPD2,0.368848129,-0.076728442,0.672,0.714,1,0.042
ICAM2,0.472838475,-0.076433551,0.178,0.202,1,0.024
PIGT,0.78331209,-0.076368119,0.159,0.167,1,0.008
NOP53,0.456192288,-0.075958792,0.706,0.712,1,0.006
PARP10,0.742545546,-0.075880329,0.162,0.171,1,0.009
UBE2M,0.742202103,-0.075864772,0.125,0.133,1,0.008
ITFG1,0.624481677,-0.075782071,0.094,0.104,1,0.01
C9orf16,0.254460056,-0.075753864,0.566,0.619,1,0.053
HMGN3,0.710953868,-0.075600465,0.356,0.373,1,0.017
PHF3,0.3584891,-0.075323897,0.294,0.329,1,0.035
SHARPIN,0.448594099,-0.075293552,0.194,0.219,1,0.025
MRPS36,0.568293991,-0.075285471,0.156,0.173,1,0.017
ATL3,0.444090554,-0.074859493,0.106,0.124,1,0.018
CARD8,0.522886754,-0.074844788,0.134,0.152,1,0.018
NDUFB1,0.651792928,-0.074780063,0.244,0.261,1,0.017
STUB1,0.546416734,-0.074716838,0.344,0.38,1,0.036
ABCF1,0.396099986,-0.074108234,0.15,0.176,1,0.026
TIAL1,0.626258656,-0.074060517,0.234,0.256,1,0.022
NT5C,0.829656782,-0.074039216,0.216,0.222,1,0.006
MBNL2,0.667688294,-0.074022706,0.097,0.105,1,0.008
RB1CC1,0.354922035,-0.073914625,0.134,0.161,1,0.027
MTCH1,0.456582031,-0.073760111,0.234,0.259,1,0.025
SDAD1,0.595305741,-0.073644523,0.156,0.174,1,0.018
MZT2B,0.291644489,-0.073643041,0.569,0.617,1,0.048
CDK13,0.941534715,-0.073391981,0.241,0.24,1,-0.001
ERCC1,0.811392051,-0.072806893,0.119,0.125,1,0.006
LUC7L3,0.475822335,-0.072722849,0.281,0.315,1,0.034
SUMO1,0.342224631,-0.072519308,0.241,0.275,1,0.034
NONO,0.497822649,-0.072469494,0.303,0.339,1,0.036
TDG,0.891065106,-0.072139648,0.106,0.109,1,0.003
CCT7,0.483084128,-0.072039636,0.269,0.293,1,0.024
CHURC1,0.365118114,-0.07202441,0.325,0.354,1,0.029
CNOT3,0.454082481,-0.071919601,0.088,0.103,1,0.015
CHD4,0.655400403,-0.071822176,0.134,0.148,1,0.014
RPL34,0.021932412,-0.071781728,1,1,1,0
CRTC2,0.40176398,-0.071292074,0.112,0.13,1,0.018
C4orf3,0.643848194,-0.071287137,0.378,0.395,1,0.017
NOP14,0.710692192,-0.070962403,0.094,0.102,1,0.008
NBR1,0.638317524,-0.070811978,0.106,0.118,1,0.012
PRKX,0.672811589,-0.070389357,0.138,0.148,1,0.01
ILF2,0.465326335,-0.070356093,0.191,0.212,1,0.021
IER2,0.871987668,-0.070196976,0.616,0.616,1,0
CDK17,0.333675271,-0.070149483,0.219,0.255,1,0.036
BRD7,0.561747576,-0.070120798,0.212,0.232,1,0.02
RPL31,0.244968156,-0.069961681,0.878,0.917,1,0.039
RBBP6,0.370332212,-0.069511853,0.297,0.335,1,0.038
BHLHE40,0.993887548,-0.069408335,0.375,0.379,1,0.004
CFLAR,0.35756168,-0.06930429,0.322,0.355,1,0.033
VAPA,0.836003624,-0.068899628,0.278,0.291,1,0.013
RPP21,0.379556116,-0.068687607,0.122,0.145,1,0.023
DEDD2,0.330817812,-0.068517026,0.119,0.143,1,0.024
RPLP1,0.0937922,-0.068439505,1,1,1,0
ITSN2,0.92555879,-0.068250293,0.241,0.241,1,0
UBE2I,0.462923959,-0.067559156,0.306,0.342,1,0.036
EEF1B2,0.120342917,-0.067462491,0.947,0.951,1,0.004
ANKRD44,0.596760092,-0.067414006,0.309,0.331,1,0.022
ATP6V1G1,0.184261141,-0.067343834,0.469,0.531,1,0.062
SQSTM1,0.614368291,-0.067309913,0.316,0.335,1,0.019
SPOCK2,0.306102493,-0.066806938,0.462,0.518,1,0.056
EIF3M,0.31939757,-0.066598806,0.262,0.306,1,0.044
ORMDL1,0.646820532,-0.066438227,0.194,0.204,1,0.01
LSM12,0.636012223,-0.066390741,0.116,0.127,1,0.011
YME1L1,0.506538029,-0.066336335,0.253,0.284,1,0.031
RALBP1,0.44664218,-0.066096795,0.225,0.255,1,0.03
TMEM43,0.30975425,-0.065854068,0.112,0.138,1,0.026
CHCHD2,0.604195073,-0.065744968,0.759,0.789,1,0.03
STMN3,0.283706519,-0.065577721,0.147,0.176,1,0.029
RELA,0.825299071,-0.065343385,0.175,0.183,1,0.008
CDC37,0.574026118,-0.06520628,0.537,0.558,1,0.021
YIF1A,0.648315588,-0.06519482,0.119,0.13,1,0.011
FCMR,0.826928332,-0.06511449,0.312,0.319,1,0.007
ATP5MC1,0.757018868,-0.064842094,0.219,0.229,1,0.01
PSME3,0.878072976,-0.064604267,0.1,0.103,1,0.003
GNLY,0.585355608,-0.064007785,1,0.988,1,-0.012
SRSF5,0.229017919,-0.063975299,0.634,0.711,1,0.077
BTAF1,0.838562018,-0.063824859,0.109,0.114,1,0.005
TRAPPC4,0.898946167,-0.063675687,0.128,0.129,1,0.001
OFD1,0.640588649,-0.063613708,0.188,0.2,1,0.012
RPS5,0.1136715,-0.063608834,0.984,0.986,1,0.002
VPS4B,0.457395713,-0.063580401,0.203,0.224,1,0.021
HK1,0.856646619,-0.063509565,0.1,0.103,1,0.003
DDHD1,0.481262133,-0.063207623,0.116,0.133,1,0.017
MAT2A,0.27364803,-0.062892226,0.106,0.133,1,0.027
TARSL2,0.535807039,-0.062532288,0.103,0.117,1,0.014
SNX20,0.556895594,-0.062457885,0.1,0.113,1,0.013
RNASET2,0.865699961,-0.062194083,0.206,0.21,1,0.004
TTC16,0.959298215,-0.062136168,0.172,0.174,1,0.002
BOLA3,0.089557866,-0.062131401,0.112,0.158,1,0.046
NMRAL1,0.793896648,-0.0620765,0.138,0.143,1,0.005
URI1,0.638250582,-0.061915897,0.328,0.344,1,0.016
NCOA7,0.92801371,-0.061834983,0.15,0.146,1,-0.004
HIGD2A,0.722424364,-0.061824686,0.578,0.599,1,0.021
USP47,0.581925278,-0.061779679,0.128,0.144,1,0.016
PRPS1,0.849168936,-0.061561014,0.116,0.12,1,0.004
PRPF4B,0.288252586,-0.061486996,0.353,0.405,1,0.052
IARS2,0.675381838,-0.06113233,0.116,0.126,1,0.01
AP2S1,0.808769391,-0.061106742,0.244,0.25,1,0.006
HNRNPA1,0.310882132,-0.060693246,0.875,0.898,1,0.023
RPS14,0.087200886,-0.060521478,1,1,1,0
MECP2,0.120666364,-0.060453562,0.116,0.157,1,0.041
SAMD9,0.627787861,-0.060146994,0.141,0.152,1,0.011
TOP1,0.954578027,-0.060050339,0.156,0.153,1,-0.003
DDX17,0.496274975,-0.059938055,0.444,0.468,1,0.024
HMG20B,0.818343516,-0.05962701,0.134,0.14,1,0.006
KHDRBS1,0.254194192,-0.059589347,0.409,0.459,1,0.05
FGFR1OP2,0.591773017,-0.059104679,0.194,0.212,1,0.018
CEBPD,0.736502892,-0.059091579,0.103,0.112,1,0.009
BDP1,0.535871805,-0.058976182,0.25,0.272,1,0.022
RPS18,0.042938204,-0.058974467,1,1,1,0
TSPO,0.542812458,-0.058306897,0.453,0.483,1,0.03
RNF181,0.156154263,-0.058048986,0.188,0.234,1,0.046
CHD3,0.512449063,-0.057312893,0.228,0.252,1,0.024
SSR2,0.405304818,-0.055908547,0.691,0.719,1,0.028
RPS17,0.349588661,-0.055829787,0.481,0.544,1,0.063
RPS6KA3,0.592530924,-0.055799791,0.122,0.136,1,0.014
CNIH4,0.92630959,-0.05571947,0.1,0.101,1,0.001
RALA,0.75762076,-0.055716721,0.103,0.11,1,0.007
MTLN,0.545416314,-0.055683913,0.125,0.14,1,0.015
THEMIS,0.511443955,-0.055524161,0.347,0.372,1,0.025
ATP5PF,0.635455099,-0.055480411,0.375,0.396,1,0.021
AKAP9,0.717797176,-0.055410627,0.281,0.294,1,0.013
GMCL1,0.656447498,-0.055173347,0.097,0.106,1,0.009
NENF,0.739869023,-0.054944181,0.216,0.228,1,0.012
IFITM1,0.108802408,-0.05490669,0.95,0.958,1,0.008
SSR3,0.355643546,-0.054902875,0.234,0.272,1,0.038
POLR2C,0.469261422,-0.054700276,0.166,0.188,1,0.022
KRT10,0.603234508,-0.05435012,0.431,0.46,1,0.029
SON,0.407020315,-0.054296522,0.7,0.72,1,0.02
KMT2A,0.424786386,-0.053961681,0.35,0.394,1,0.044
LAMTOR5,0.662365339,-0.053929687,0.206,0.223,1,0.017
PRKAR1A,0.996934082,-0.053657603,0.116,0.116,1,0
IL12RB1,0.736448767,-0.053531184,0.162,0.173,1,0.011
RNPS1,0.94647208,-0.053509375,0.328,0.327,1,-0.001
UQCRQ,0.240637743,-0.053332891,0.325,0.382,1,0.057
BCKDHA,0.62319038,-0.053284503,0.103,0.115,1,0.012
SEPTIN6,0.499784725,-0.053107331,0.375,0.401,1,0.026
ZBTB7A,0.269716707,-0.052858683,0.3,0.344,1,0.044
RNF125,0.383007852,-0.052777528,0.225,0.258,1,0.033
SPN,0.911292593,-0.052643676,0.425,0.43,1,0.005
FLOT2,0.510845477,-0.052549455,0.253,0.28,1,0.027
RTRAF,0.353695079,-0.052500322,0.253,0.288,1,0.035
EVI2B,0.593351074,-0.0521966,0.262,0.288,1,0.026
PJA2,0.57274627,-0.051797586,0.156,0.174,1,0.018
JUND,0.178672179,-0.051637676,0.619,0.689,1,0.07
YIPF3,0.689389345,-0.051462951,0.147,0.159,1,0.012
EFCAB14,0.401681385,-0.051297501,0.206,0.236,1,0.03
TIMM13,0.639363082,-0.051066566,0.122,0.134,1,0.012
LEMD3,0.44875727,-0.050956821,0.116,0.134,1,0.018
TUBA1A,0.954916166,-0.050780147,0.428,0.433,1,0.005
SYNC,0.182778496,-0.050726107,0.103,0.136,1,0.033
ACAA2,0.619895831,-0.050726068,0.169,0.183,1,0.014
MEAF6,0.214030561,-0.050583046,0.25,0.299,1,0.049
NEMF,0.171756048,-0.050490266,0.131,0.17,1,0.039
MGMT,0.567429982,-0.050226447,0.191,0.206,1,0.015
TPRG1L,0.554534771,-0.050095252,0.138,0.152,1,0.014
RSBN1,0.513583934,-0.050087357,0.181,0.202,1,0.021
NAP1L4,0.688203621,-0.049866868,0.303,0.323,1,0.02
EEF1G,0.318704465,-0.049702718,0.912,0.914,1,0.002
SRSF7,0.568050763,-0.049653104,0.584,0.621,1,0.037
FAU,0.125861239,-0.049571801,0.997,0.999,1,0.002
SNF8,0.688325563,-0.049335124,0.175,0.187,1,0.012
PTPRC,0.527638195,-0.049178882,0.934,0.951,1,0.017
IFI35,0.643389046,-0.04852968,0.097,0.106,1,0.009
UBL3,0.781117566,-0.048410784,0.175,0.186,1,0.011
PSMA4,0.387837423,-0.048343886,0.128,0.153,1,0.025
ZC3H15,0.839310694,-0.047728535,0.259,0.272,1,0.013
CSNK1G2,0.851015826,-0.047684386,0.247,0.257,1,0.01
HADHA,0.739589671,-0.047527704,0.303,0.317,1,0.014
IL2RB,0.698099018,-0.047236419,0.234,0.248,1,0.014
CENPC,0.960748772,-0.04722781,0.209,0.211,1,0.002
TIPARP,0.322042535,-0.046660839,0.088,0.11,1,0.022
SLC25A38,0.586472872,-0.046389074,0.125,0.14,1,0.015
PCBP1,0.537031325,-0.046204728,0.659,0.688,1,0.029
CLINT1,0.902616695,-0.046181746,0.175,0.18,1,0.005
BAG6,0.523332475,-0.0457873,0.138,0.157,1,0.019
EDF1,0.607877302,-0.045603811,0.647,0.687,1,0.04
EIF3L,0.596128575,-0.04555092,0.466,0.496,1,0.03
EIF4G1,0.545970071,-0.045410708,0.147,0.165,1,0.018
CCAR1,0.885731317,-0.045242257,0.141,0.145,1,0.004
PRDM2,0.753440988,-0.044789005,0.141,0.147,1,0.006
RACK1,0.210371591,-0.044608538,0.981,0.988,1,0.007
SNHG32,0.791111323,-0.044517587,0.103,0.109,1,0.006
NOP58,0.601293269,-0.044276243,0.206,0.227,1,0.021
CCT6A,0.503605216,-0.044191688,0.244,0.271,1,0.027
NFAT5,0.513939361,-0.043863277,0.106,0.12,1,0.014
PEX16,0.390220872,-0.04385698,0.134,0.16,1,0.026
SHKBP1,0.26321167,-0.043716425,0.203,0.24,1,0.037
ATF6B,0.924321961,-0.043633334,0.241,0.245,1,0.004
DDX46,0.888702249,-0.043590984,0.356,0.353,1,-0.003
TMEM109,0.972118761,-0.043320989,0.288,0.289,1,0.001
CASP8,0.946955698,-0.043202658,0.331,0.339,1,0.008
RPL11,0.12743171,-0.043119672,1,0.999,1,-0.001
UQCR11,0.797563284,-0.04306896,0.688,0.7,1,0.012
AMD1,0.892888876,-0.042043417,0.216,0.22,1,0.004
RPL35,0.369426647,-0.041790324,0.988,0.99,1,0.002
